time,open,high,low,close,volume,spread
2024-01-01 00:00:00,2000.0,2002.147596152738,2000.0,2001.9403928736115,272.0,25.0
2024-01-01 00:15:00,2001.9403928736115,2005.1758552512395,2001.9403928736115,2004.8347207232252,348.0,25.0
2024-01-01 00:30:00,2004.8347207232252,2005.0823352738742,2004.4634143775747,2004.817726864447,207.0,25.0
2024-01-01 00:45:00,2004.817726864447,2005.3927938248116,2003.6361082592932,2005.3927938248116,338.0,25.0
2024-01-01 01:00:00,2005.3927938248116,2006.5085940009926,2004.6250348665737,2004.6250348665737,407.0,25.0
2024-01-01 01:15:00,2004.6250348665737,2005.560697232741,2003.7816149180514,2004.1332980027391,87.0,25.0
2024-01-01 01:30:00,2004.1332980027391,2007.6259202374304,2004.1332980027391,2007.6259202374304,498.0,25.0
2024-01-01 01:45:00,2007.6259202374304,2007.8654791016606,2006.3663591636125,2006.8913126933599,188.0,25.0
2024-01-01 02:00:00,2006.8913126933599,2006.8913126933599,2005.1343202037685,2006.4321760381672,392.0,25.0
2024-01-01 02:15:00,2006.4321760381672,2007.1534932368825,2005.5129057130716,2006.3144034340767,428.0,25.0
2024-01-01 02:30:00,2006.3144034340767,2008.5935842716037,2006.3144034340767,2007.1378085451977,192.0,25.0
2024-01-01 02:45:00,2007.1378085451977,2008.967306340578,2007.1378085451977,2008.967306340578,387.0,25.0
2024-01-01 03:00:00,2008.967306340578,2009.144760936948,2006.908553097334,2006.908553097334,403.0,25.0
2024-01-01 03:15:00,2006.908553097334,2008.1973769810922,2006.623115116558,2006.623115116558,398.0,25.0
2024-01-01 03:30:00,2006.623115116558,2009.5661889240932,2006.623115116558,2009.5661889240932,224.0,25.0
2024-01-01 03:45:00,2009.5661889240932,2011.2053564352998,2008.063570068978,2008.063570068978,156.0,25.0
2024-01-01 04:00:00,2008.063570068978,2012.33089553857,2008.063570068978,2012.33089553857,297.0,25.0
2024-01-01 04:15:00,2012.33089553857,2014.382890671038,2011.9549441732017,2011.9549441732017,155.0,25.0
2024-01-01 04:30:00,2011.9549441732017,2011.9549441732017,2008.6853603999687,2009.599469123289,183.0,25.0
2024-01-01 04:45:00,2009.599469123289,2011.1639819579837,2009.599469123289,2009.8460724747958,363.0,25.0
